"";"id";"name";"text";"power";"toughness";"manaCost";"convertedManaCost";"specificManaCost";"colorIdentity";"type1";"type2"
"1";12;"Abattoir Ghoul";"First strike
Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness.";"3";"2";"{3}{B}";4;1;"B";"Creature";"Zombie"
"2";13;"Abbey Gargoyles";"Flying, protection from red";"3";"4";"{2}{W}{W}{W}";5;3;"W";"Creature";"Gargoyle"
"3";14;"Abbey Griffin";"Flying, vigilance";"2";"2";"{3}{W}";4;1;"W";"Creature";"Griffin"
"4";15;"Abbey Matron";"{W}, {T}: Abbey Matron gets +0/+3 until end of turn.";"1";"3";"{2}{W}";3;1;"W";"Creature";"Human Cleric"
"5";16;"Abbot of Keral Keep";"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card.";"2";"1";"{1}{R}";2;1;"R";"Creature";"Human Monk"
"7";20;"Abhorrent Overlord";"Flying
When Abhorrent Overlord enters the battlefield, create a number of 1/1 black Harpy creature tokens with flying equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)
At the beginning of your upkeep, sacrifice a creature.";"6";"6";"{5}{B}{B}";7;2;"B";"Creature";"Demon"
"9";25;"Abomination";"Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.";"2";"6";"{3}{B}{B}";5;2;"B";"Creature";"Horror"
"10";26;"Abomination of Gudul";"Flying
Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.
Morph {2}{B}{G}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)";"3";"4";"{3}{B}{G}{U}";6;3;"B";"Creature";"Horror"
"11";27;"Aboroth";"Cumulative upkeep—Put a -1/-1 counter on Aboroth. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)";"9";"9";"{4}{G}{G}";6;2;"G";"Creature";"Elemental"
"12";35;"Absolver Thrull";"Haunt (When this creature dies, exile it haunting target creature.)
When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment.";"2";"3";"{3}{W}";4;1;"W";"Creature";"Thrull Cleric"
"13";39;"Abu Ja'far";"When Abu Ja'far dies, destroy all creatures blocking or blocked by it. They can't be regenerated.";"0";"1";"{W}";1;1;"W";"Creature";"Human"
"14";40;"Abuna Acolyte";"{T}: Prevent the next 1 damage that would be dealt to any target this turn.
{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.";"1";"1";"{1}{W}";2;1;"W";"Creature";"Cat Cleric"
"15";44;"Abundant Maw";"Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)
When you cast this spell, target opponent loses 3 life and you gain 3 life.";"6";"4";"{8}";8;0;"B";"Creature";"Eldrazi Leech"
"16";45;"Abyssal Gatekeeper";"When Abyssal Gatekeeper dies, each player sacrifices a creature.";"1";"1";"{1}{B}";2;1;"B";"Creature";"Horror"
"17";46;"Abyssal Horror";"Flying
When Abyssal Horror enters the battlefield, target player discards two cards.";"2";"2";"{4}{B}{B}";6;2;"B";"Creature";"Horror"
"18";47;"Abyssal Hunter";"{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.";"1";"1";"{3}{B}";4;1;"B";"Creature";"Human Assassin"
"19";48;"Abyssal Nightstalker";"Whenever Abyssal Nightstalker attacks and isn't blocked, defending player discards a card.";"2";"2";"{3}{B}";4;1;"B";"Creature";"Nightstalker"
"20";49;"Abyssal Nocturnus";"Whenever an opponent discards a card, Abyssal Nocturnus gets +2/+2 and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)";"2";"2";"{1}{B}{B}";3;2;"B";"Creature";"Horror"
"21";50;"Abyssal Persecutor";"Flying, trample
You can't win the game and your opponents can't lose the game.";"6";"6";"{2}{B}{B}";4;2;"B";"Creature";"Demon"
"22";51;"Abyssal Specter";"Flying
Whenever Abyssal Specter deals damage to a player, that player discards a card.";"2";"3";"{2}{B}{B}";4;2;"B";"Creature";"Specter"
"23";55;"Abzan Battle Priest";"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has lifelink.";"3";"2";"{3}{W}";4;1;"W";"Creature";"Human Cleric"
"24";56;"Abzan Beastmaster";"At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness.";"2";"1";"{2}{G}";3;1;"G";"Creature";"Hound Shaman"
"25";58;"Abzan Falconer";"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has flying.";"2";"3";"{2}{W}";3;1;"W";"Creature";"Human Soldier"
"26";59;"Abzan Guide";"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Morph {2}{W}{B}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)";"4";"4";"{3}{W}{B}{G}";6;3;"B";"Creature";"Human Warrior"
"27";60;"Abzan Kin-Guard";"Abzan Kin-Guard has lifelink as long as you control a white or black permanent.";"3";"3";"{3}{G}";4;1;"G";"Creature";"Human Warrior"
"28";62;"Abzan Skycaptain";"Flying
When Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)";"2";"2";"{3}{W}";4;1;"W";"Creature";"Bird Soldier"
"29";63;"Academy Drake";"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Flying
If Academy Drake was kicked, it enters the battlefield with two +1/+1 counters on it.";"2";"2";"{2}{U}";3;1;"U";"Creature";"Drake"
"30";64;"Academy Elite";"Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.
{2}{U}, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card.";"0";"0";"{3}{U}";4;1;"U";"Creature";"Human Wizard"
"31";65;"Academy Journeymage";"This spell costs {1} less to cast if you control a Wizard.
When Academy Journeymage enters the battlefield, return target creature an opponent controls to its owner's hand.";"3";"2";"{4}{U}";5;1;"U";"Creature";"Human Wizard"
"32";66;"Academy Raider";"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Whenever Academy Raider deals combat damage to a player, you may discard a card. If you do, draw a card.";"1";"1";"{2}{R}";3;1;"R";"Creature";"Human Warrior"
"33";67;"Academy Rector";"When Academy Rector dies, you may exile it. If you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle your library.";"1";"2";"{3}{W}";4;1;"W";"Creature";"Human Cleric"
"34";68;"Academy Researchers";"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.";"2";"2";"{1}{U}{U}";3;2;"U";"Creature";"Human Wizard"
"35";76;"Accorder Paladin";"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)";"3";"1";"{1}{W}";2;1;"W";"Creature";"Human Knight"
"36";79;"Accursed Centaur";"When Accursed Centaur enters the battlefield, sacrifice a creature.";"2";"2";"{B}";1;1;"B";"Creature";"Zombie Centaur"
"37";80;"Accursed Horde";"{1}{B}: Target attacking Zombie gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)";"3";"3";"{3}{B}";4;1;"B";"Creature";"Zombie"
